
MarkdownFile                           ReferencedFile                                                       ExistsInCFH
AuctionsFeatureList.md                 CFH\frontend\src\components\auctions\AuctionItemListing.js           No         
AuctionsFeatureList.md                 Node.js                                                              No         
BodyShopFeatureList.md                 BodyShopDiscoveryPage.js                                             No         
BodyShopFeatureList.md                 BodyShopProfileView.js                                               No         
BodyShopFeatureList.md                 cfh\backend\routes\bodyshop\estimateRoutes.js                        No         
BodyShopFeatureList.md                 cfh\backend\routes\bodyshop\jobRoutes.js                             No         
BodyShopFeatureList.md                 cfh\backend\routes\bodyshop\shopProfileRoutes.js                     No         
BodyShopFeatureList.md                 CFH\frontend\src\components\body-shop\BodyShopDiscoveryPage.js       No         
BodyShopFeatureList.md                 CFH\frontend\src\components\body-shop\BodyShopProfileView.js         No         
BodyShopFeatureList.md                 CFH\frontend\src\components\body-shop\EstimateRequestForm.js         No         
BodyShopFeatureList.md                 CFH\frontend\src\components\body-shop\JobTrackingView.js             No         
BodyShopFeatureList.md                 CFH\frontend\src\components\body-shop\ShopOwnerDashboard.js          No         
BodyShopFeatureList.md                 EstimateRequestForm.js                                               No         
BodyShopFeatureList.md                 estimateRoutes.js                                                    No         
BodyShopFeatureList.md                 jobRoutes.js                                                         No         
BodyShopFeatureList.md                 JobTrackingView.js                                                   No         
BodyShopFeatureList.md                 Node.js                                                              No         
BodyShopFeatureList.md                 ShopOwnerDashboard.js                                                No         
BodyShopFeatureList.md                 shopProfileRoutes.js                                                 No         
CarDetailingFeatureList.md             cfh\backend\routes\detailing\detailingRoutes.js                      No         
CarDetailingFeatureList.md             CFH\frontend\src\components\detailing\DetailingBookingSystem.js      No         
CarDetailingFeatureList.md             CFH\frontend\src\components\detailing\DetailingServiceDiscovery.js   No         
CarDetailingFeatureList.md             DetailingBookingSystem.js                                            No         
CarDetailingFeatureList.md             detailingRoutes.js                                                   No         
CarDetailingFeatureList.md             DetailingServiceDiscovery.js                                         No         
CarDetailingFeatureList.md             Node.js                                                              No         
CFH_File_Completion_Plan.md            auctionController.js                                                 No         
CFH_File_Completion_Plan.md            auth.ts                                                              No         
CFH_File_Completion_Plan.md            authController.test.ts                                               No         
CFH_File_Completion_Plan.md            authController.ts                                                    No         
CFH_File_Completion_Plan.md            BlockchainAdapter.test.js                                            No         
CFH_File_Completion_Plan.md            CFH\backend\controllers\auth\authController.ts                       No         
CFH_File_Completion_Plan.md            CFH\backend\jest.config.js                                           No         
CFH_File_Completion_Plan.md            CFH\backend\routes\auth\auth.ts                                      No         
CFH_File_Completion_Plan.md            CFH\backend\routes\payments\payments.ts                              No         
CFH_File_Completion_Plan.md            CFH\backend\routes\reports\reports.ts                                No         
CFH_File_Completion_Plan.md            CFH\backend\services\ai\RecommendationService.ts                     No         
CFH_File_Completion_Plan.md            CFH\backend\services\notification\NotificationService.ts             No         
CFH_File_Completion_Plan.md            CFH\backend\services\payments\PaymentService.ts                      No         
CFH_File_Completion_Plan.md            CFH\backend\services\recovery\RecoveryManager.ts                     No         
CFH_File_Completion_Plan.md            CFH\backend\services\reports\ReportService.ts                        No         
CFH_File_Completion_Plan.md            CFH\backend\socket.js                                                No         
CFH_File_Completion_Plan.md            CFH\backend\tests\ai\RecommendationService.test.ts                   No         
CFH_File_Completion_Plan.md            CFH\backend\tests\auth\authController.test.ts                        No         
CFH_File_Completion_Plan.md            CFH\backend\tests\notification\NotificationService.test.ts           No         
CFH_File_Completion_Plan.md            CFH\backend\tests\payments\PaymentService.test.ts                    No         
CFH_File_Completion_Plan.md            CFH\backend\tests\recovery\RecoveryManager.test.ts                   No         
CFH_File_Completion_Plan.md            CFH\backend\tests\reports\ReportService.test.ts                      No         
CFH_File_Completion_Plan.md            CFH\backend\tests\utils\logger.test.js                               No         
CFH_File_Completion_Plan.md            EscrowAuditService.test.js                                           No         
CFH_File_Completion_Plan.md            escrowNotifyRoutes.test.js                                           No         
CFH_File_Completion_Plan.md            escrowPaymentRoutes.test.js                                          No         
CFH_File_Completion_Plan.md            logger.test.js                                                       No         
CFH_File_Completion_Plan.md            NotificationService.test.ts                                          No         
CFH_File_Completion_Plan.md            NotificationService.ts                                               No         
CFH_File_Completion_Plan.md            payments.ts                                                          No         
CFH_File_Completion_Plan.md            PaymentService.test.ts                                               No         
CFH_File_Completion_Plan.md            PaymentService.ts                                                    No         
CFH_File_Completion_Plan.md            RecommendationService.test.ts                                        No         
CFH_File_Completion_Plan.md            RecommendationService.ts                                             No         
CFH_File_Completion_Plan.md            RecoveryManager.test.ts                                              No         
CFH_File_Completion_Plan.md            RecoveryManager.ts                                                   No         
CFH_File_Completion_Plan.md            reports.ts                                                           No         
CFH_File_Completion_Plan.md            ReportService.test.ts                                                No         
CFH_File_Completion_Plan.md            ReportService.ts                                                     No         
CFH_File_Completion_Plan.md            socket.js                                                            No         
CFH_File_Completion_Plan.md            TrustScoreEngine.test.js                                             No         
CFHFileMap.md                          BidHeatmapService.ts                                                 No         
CFHFileMap.md                          cy.ts                                                                No         
CFHFileMap.md                          cypress\e2e\CollaborationChat.cy.js                                  No         
CFHFileMap.md                          e2e\CollaborationChat.cy.ts                                          No         
CFHFileMap.md                          e2e\CollaborationChat05040109.cy.ts                                  No         
CFHFileMap.md                          EscrowRoutes.test.ts                                                 No         
CFHFileMap.md                          EscrowService.ts                                                     No         
CFHFileMap.md                          helpers.ts                                                           No         
CFHFileMap.md                          index.ts                                                             No         
CFHFileMap.md                          NotificationService.test.ts                                          No         
CFHFileMap.md                          NotificationService.ts                                               No         
CFHFileMap.md                          notificationService.ts                                               No         
CFHFileMap.md                          package.js                                                           No         
CFHFileMap.md                          package.json                                                         No         
CFHFileMap.md                          support\commands.ts                                                  No         
CFHFileMap.md                          support\e2e.ts                                                       No         
CFHFileMap.md                          tests\setup.ts                                                       No         
CFHFileMap.md                          tsconfig.js                                                          No         
CFHFileMap.md                          tsconfig.json                                                        No         
CFHFileMap.md                          utils.d.ts                                                           No         
CodeGenerationPlan.md                  React\Node.js                                                        No         
CommunityEventsFeatureList.md          cfh\backend\routes\events\communityEventsRoutes.js                   No         
CommunityEventsFeatureList.md          CFH\frontend\src\components\events\CommunityEvents.js                No         
CommunityEventsFeatureList.md          CommunityEvents.js                                                   No         
CommunityEventsFeatureList.md          communityEventsRoutes.js                                             No         
DisputeResolutionFeatureList.md        cfh\backend\routes\dispute\disputeResolutionRoutes.js                No         
DisputeResolutionFeatureList.md        CFH\frontend\src\components\dispute\DisputeResolution.js             No         
DisputeResolutionFeatureList.md        DisputeResolution.js                                                 No         
DisputeResolutionFeatureList.md        disputeResolutionRoutes.js                                           No         
DisputesArbitrationFeatureList.md      cfh\backend\routes\disputes\disputeRoutes.js                         No         
DisputesArbitrationFeatureList.md      CFH\frontend\src\components\disputes\DisputeCommunicationLog.js      No         
DisputesArbitrationFeatureList.md      DisputeCommunicationLog.js                                           No         
DisputesArbitrationFeatureList.md      disputeRoutes.js                                                     No         
DisputesArbitrationFeatureList.md      Node.js                                                              No         
ErrorBoundary.md                       ErrorBoundary.test.ts                                                No         
ErrorBoundary.md                       ErrorBoundary.test.tsx                                               No         
ErrorBoundary.md                       ErrorBoundary.ts                                                     No         
ErrorBoundary.md                       ErrorBoundary.tsx                                                    No         
ErrorBoundary.md                       i18n.ts                                                              No         
ErrorBoundary.md                       logger.js                                                            No         
EscrowServiceFeatureList.md            CFH\backend\services\escrow\escrow.premium.service.ts                No         
EscrowServiceFeatureList.md            escrow.premium.service.ts                                            No         
EscrowServiceFeatureList.md            EscrowConditionChecklistUserView.js                                  No         
EscrowServiceFeatureList.md            escrowRoutes.js                                                      No         
EscrowServiceFeatureList.md            EscrowTransaction.js                                                 No         
EscrowServiceFeatureList.md            escrowTransactionRoutes.js                                           No         
FinancingApplicationFeatureList.md     cfh\backend\routes\financing\financingApplicationRoutes.js           No         
FinancingApplicationFeatureList.md     CFH\frontend\src\components\financing\FinancingApplication.js        No         
FinancingApplicationFeatureList.md     FinancingApplication.js                                              No         
FinancingApplicationFeatureList.md     financingApplicationRoutes.js                                        No         
FinancingLenderFeatureList.md          cfh\backend\routes\admin\finance\loanProductRoutes.js                No         
FinancingLenderFeatureList.md          CFH\frontend\src\components\admin\finance\LoanProductConfigurator.js No         
FinancingLenderFeatureList.md          LoanProductConfigurator.js                                           No         
FinancingLenderFeatureList.md          loanProductRoutes.js                                                 No         
FinancingLenderFeatureList.md          Node.js                                                              No         
ForumEngagementFeatureList.md          cfh\backend\routes\forum\forumEngagementRoutes.js                    No         
ForumEngagementFeatureList.md          CFH\frontend\src\components\forum\ForumEngagement.js                 No         
ForumEngagementFeatureList.md          ForumEngagement.js                                                   No         
ForumEngagementFeatureList.md          forumEngagementRoutes.js                                             No         
InsuranceQuoteFeatureList.md           cfh\backend\routes\insurance\insuranceQuoteRoutes.js                 No         
InsuranceQuoteFeatureList.md           CFH\frontend\src\components\insurance\InsuranceQuote.js              No         
InsuranceQuoteFeatureList.md           InsuranceQuote.js                                                    No         
InsuranceQuoteFeatureList.md           insuranceQuoteRoutes.js                                              No         
KnowledgeBaseFeatureList.md            cfh\backend\routes\knowledge\knowledgeBaseRoutes.js                  No         
KnowledgeBaseFeatureList.md            CFH\frontend\src\components\knowledge\KnowledgeBase.js               No         
KnowledgeBaseFeatureList.md            KnowledgeBase.js                                                     No         
KnowledgeBaseFeatureList.md            knowledgeBaseRoutes.js                                               No         
LoyaltyProgramFeatureList.md           cfh\backend\routes\loyalty\loyaltyProgramRoutes.js                   No         
LoyaltyProgramFeatureList.md           CFH\frontend\src\components\loyalty\LoyaltyProgram.js                No         
LoyaltyProgramFeatureList.md           LoyaltyProgram.js                                                    No         
LoyaltyProgramFeatureList.md           loyaltyProgramRoutes.js                                              No         
MaintenanceSchedulingFeatureList.md    cfh\backend\routes\maintenance\maintenanceSchedulingRoutes.js        No         
MaintenanceSchedulingFeatureList.md    CFH\frontend\src\components\maintenance\MaintenanceScheduling.js     No         
MaintenanceSchedulingFeatureList.md    MaintenanceScheduling.js                                             No         
MaintenanceSchedulingFeatureList.md    maintenanceSchedulingRoutes.js                                       No         
MarketplaceFeatureList.md              cfh\backend\routes\marketplace\marketplaceRoutes.js                  No         
MarketplaceFeatureList.md              CFH\frontend\src\components\marketplace\MarketplaceSearch.js         No         
MarketplaceFeatureList.md              marketplaceRoutes.js                                                 No         
MarketplaceFeatureList.md              MarketplaceSearch.js                                                 No         
MarketplaceListingsFeatureList.md      cfh\backend\routes\marketplace\marketplaceListingsRoutes.js          No         
MarketplaceListingsFeatureList.md      CFH\frontend\src\components\marketplace\MarketplaceListings.js       No         
MarketplaceListingsFeatureList.md      MarketplaceListings.js                                               No         
MarketplaceListingsFeatureList.md      marketplaceListingsRoutes.js                                         No         
MechanicServicesFeatureList.md         cfh\backend\routes\mechanic\serviceSchedulingRoutes.js               No         
MechanicServicesFeatureList.md         CFH\frontend\src\components\mechanic\ServiceScheduler.js             No         
MechanicServicesFeatureList.md         CFH\frontend\src\components\mechanic\VehicleMaintenanceLog.js        No         
MechanicServicesFeatureList.md         Node.js                                                              No         
MechanicServicesFeatureList.md         ServiceScheduler.js                                                  No         
MechanicServicesFeatureList.md         serviceSchedulingRoutes.js                                           No         
MechanicServicesFeatureList.md         VehicleMaintenanceLog.js                                             No         
MobileAppEnhancementsFeatureList.md    cfh\backend\routes\maintenance\maintenanceSchedulingRoutes.js        No         
MobileAppEnhancementsFeatureList.md    CFH\frontend\src\components\maintenance\MaintenanceScheduling.js     No         
MobileAppEnhancementsFeatureList.md    MaintenanceScheduling.js                                             No         
MobileAppEnhancementsFeatureList.md    maintenanceSchedulingRoutes.js                                       No         
NotificationsSystemFeatureList.md      cfh\backend\routes\notifications\notificationSystemRoutes.js         No         
NotificationsSystemFeatureList.md      CFH\frontend\src\components\notifications\NotificationsSystem.js     No         
NotificationsSystemFeatureList.md      NotificationsSystem.js                                               No         
NotificationsSystemFeatureList.md      notificationSystemRoutes.js                                          No         
PartnerMarketplaceFeatureList.md       cfh\backend\routes\partner\partnerMarketplaceRoutes.js               No         
PartnerMarketplaceFeatureList.md       CFH\frontend\src\components\partner\PartnerMarketplace.js            No         
PartnerMarketplaceFeatureList.md       PartnerMarketplace.js                                                No         
PartnerMarketplaceFeatureList.md       partnerMarketplaceRoutes.js                                          No         
PhotoUploadFeatureList.md              blurDetector.ts                                                      No         
PhotoUploadFeatureList.md              CFH\frontend\src\components\inspection\PhotoUpload.ts                No         
PhotoUploadFeatureList.md              CFH\frontend\src\components\inspection\PhotoUpload.tsx               No         
PhotoUploadFeatureList.md              CFH\frontend\src\tests\inspection\PhotoUpload.test.ts                No         
PhotoUploadFeatureList.md              CFH\frontend\src\tests\inspection\PhotoUpload.test.tsx               No         
PhotoUploadFeatureList.md              packages\inspection-utils\blurDetector.ts                            No         
PhotoUploadFeatureList.md              PhotoUpload.test.ts                                                  No         
PhotoUploadFeatureList.md              PhotoUpload.test.tsx                                                 No         
PhotoUploadFeatureList.md              PhotoUpload.ts                                                       No         
PhotoUploadFeatureList.md              PhotoUpload.tsx                                                      No         
PredictionUpdatesWS.md                 PredictionUpdatesWS.test.ts                                          No         
PredictionUpdatesWS.md                 PredictionUpdatesWS.ts                                               No         
ReferralProgramFeatureList.md          cfh\backend\routes\referral\referralProgramRoutes.js                 No         
ReferralProgramFeatureList.md          CFH\frontend\src\components\referral\ReferralProgram.js              No         
ReferralProgramFeatureList.md          ReferralProgram.js                                                   No         
ReferralProgramFeatureList.md          referralProgramRoutes.js                                             No         
RoadsideAssistanceFeatureList.md       cfh\backend\routes\roadside\roadsideAssistanceRoutes.js              No         
RoadsideAssistanceFeatureList.md       CFH\frontend\src\components\roadside\RoadsideAssistance.js           No         
RoadsideAssistanceFeatureList.md       RoadsideAssistance.js                                                No         
RoadsideAssistanceFeatureList.md       roadsideAssistanceRoutes.js                                          No         
ServiceBookingFeatureList.md           cfh\backend\routes\service\serviceBookingRoutes.js                   No         
ServiceBookingFeatureList.md           CFH\frontend\src\components\service\ServiceBooking.js                No         
ServiceBookingFeatureList.md           ServiceBooking.js                                                    No         
ServiceBookingFeatureList.md           serviceBookingRoutes.js                                              No         
ShippingTransportFeatureList.md        cfh\backend\routes\transport\transportQuoteRoutes.js                 No         
ShippingTransportFeatureList.md        CFH\frontend\src\components\transport\TransportQuoteForm.js          No         
ShippingTransportFeatureList.md        Node.js                                                              No         
ShippingTransportFeatureList.md        TransportQuoteForm.js                                                No         
ShippingTransportFeatureList.md        transportQuoteRoutes.js                                              No         
SupportTicketsFeatureList.md           cfh\backend\routes\support\supportTicketRoutes.js                    No         
SupportTicketsFeatureList.md           CFH\frontend\src\components\support\SupportTicketForm.js             No         
SupportTicketsFeatureList.md           SupportTicketForm.js                                                 No         
SupportTicketsFeatureList.md           supportTicketRoutes.js                                               No         
TelematicsIntegrationFeatureList.md    cfh\backend\routes\telematics\telematicsIntegrationRoutes.js         No         
TelematicsIntegrationFeatureList.md    CFH\frontend\src\components\telematics\TelematicsIntegration.js      No         
TelematicsIntegrationFeatureList.md    TelematicsIntegration.js                                             No         
TelematicsIntegrationFeatureList.md    telematicsIntegrationRoutes.js                                       No         
UserProfileCustomizationFeatureList.md cfh\backend\routes\profile\userProfileCustomizationRoutes.js         No         
UserProfileCustomizationFeatureList.md CFH\frontend\src\components\profile\UserProfileCustomization.js      No         
UserProfileCustomizationFeatureList.md UserProfileCustomization.js                                          No         
UserProfileCustomizationFeatureList.md userProfileCustomizationRoutes.js                                    No         
UserProfileFeatureList.md              analytics.routes.ts                                                  No         
UserProfileFeatureList.md              analyticsApi.ts                                                      No         
UserProfileFeatureList.md              CurrencyConverterWidget.js                                           No         
UserProfileFeatureList.md              i18n.ts                                                              No         
UserProfileFeatureList.md              PointsHistory.js                                                     No         
UserProfileFeatureList.md              PointsHistory.test.js                                                No         
UserProfileFeatureList.md              UserAuth.js                                                          No         
UserProfileFeatureList.md              UserProfilePage.js                                                   No         
UserProfileFeatureList.md              UserProfilePage.test.js                                              No         
UserReviewsFeatureList.md              cfh\backend\routes\reviews\userReviewRoutes.js                       No         
UserReviewsFeatureList.md              CFH\frontend\src\components\reviews\UserReviews.js                   No         
UserReviewsFeatureList.md              userReviewRoutes.js                                                  No         
UserReviewsFeatureList.md              UserReviews.js                                                       No         
VehicleValuationFeatureList.md         cfh\backend\routes\valuation\valuationRoutes.js                      No         
VehicleValuationFeatureList.md         CFH\frontend\src\components\valuation\VehicleValuation.js            No         
VehicleValuationFeatureList.md         valuationRoutes.js                                                   No         
VehicleValuationFeatureList.md         VehicleValuation.js                                                  No         
WindowTintingFeatureList.md            cfh\backend\routes\tinting\tintingRoutes.js                          No         
WindowTintingFeatureList.md            CFH\frontend\src\components\tinting\TintingServiceDiscovery.js       No         
WindowTintingFeatureList.md            CFH\frontend\src\components\tinting\WindowTintingScheduler.js        No         
WindowTintingFeatureList.md            Node.js                                                              No         
WindowTintingFeatureList.md            tintingRoutes.js                                                     No         
WindowTintingFeatureList.md            TintingServiceDiscovery.js                                           No         
WindowTintingFeatureList.md            WindowTintingScheduler.js                                            No         


